language,market,keyword,search_volume,competition,competition_index,cpc,score
Japanese,Japan,qrコード 作成,450000,LOW,15,0.78,233
Polish,Poland,generator kodow kreskowych,9900,LOW,2,6.54,216
German,Germany,barcode generator,33100,LOW,4,1.66,208
Portuguese,Brazil,gerador de codigo de barras,33100,LOW,1,0.8,206
Japanese,Japan,バーコード 作成,22200,LOW,2,1.48,203
Japanese,Japan,qrコード 生成,33100,LOW,9,1,200
Portuguese,Brazil,gerador codigo de barras,27100,LOW,4,0.74,200
Spanish,Mexico,generador de codigo de barras,22200,LOW,2,0.8,199
Spanish,Mexico,generador codigo de barras,22200,LOW,2,0.8,199
Spanish,Mexico,generador de codigos de barras,22200,LOW,2,0.8,199
Dutch,Netherlands,barcode generator,14800,LOW,7,2.23,196
Dutch,Netherlands,streepjescode generator,14800,LOW,7,2.23,196
Japanese,Japan,janコード 作成,8100,LOW,2,1.76,189
Turkish,Turkey,barkod oluşturucu,22200,LOW,12,0.26,188
French,France,generateur code barre,8100,LOW,4,1.08,184
French,France,generateur code barres,8100,LOW,4,1.08,184
Polish,Poland,generator kodu kreskowego,880,LOW,3,7.18,181
Turkish,Turkey,barkod generator,6600,LOW,6,0.52,176
French,France,generateur de code barre,4400,LOW,6,1.36,174
Italian,Italy,generatore codice a barre,5400,LOW,10,1.11,172
German,Germany,ean 13 generator,2400,LOW,8,2.17,167
Japanese,Japan,バーコード 生成,1900,LOW,2,1.3,165
Indonesian,Indonesia,generator barcode,6600,LOW,17,0.05,164
Spanish,Spain,generador de codigo de barras,1900,LOW,3,1.2,163
Spanish,Spain,generador codigo de barras,1900,LOW,3,1.2,163
Spanish,Spain,generador de codigos de barras,1900,LOW,3,1.2,163
Portuguese,Brazil,gerador de codigo qr,1900,LOW,4,0.37,158
German,Germany,qr code generator,135000,MEDIUM,61,2.24,154
German,Germany,data matrix code generator,1000,LOW,9,2.2,153
Indonesian,Indonesia,generator data matrix,880,LOW,0,1.05,153
